Etiqueta	Muestras	Media	Mediana	90%	95%	99%	Min	Max	%Error	Rendimiento	KB/sec	SentKB/Sec
P1-ejb	1000	23	14	56	60	64	3	1631	0.0	41.467965996267885	53.72725741239893	0.0
Total	1000	23	14	56	60	64	3	1631	0.0	41.467965996267885	53.72725741239893	0.0
